@RELATION 'trained-WDBC-mlp-s-112'

@Attribute id string
@Attribute trainedwdbcmlps112neuron0 numeric
@Attribute trainedwdbcmlps112neuron1 numeric
@Attribute trainedwdbcmlps112neuron2 numeric
@Attribute trainedwdbcmlps112neuron3 numeric
@Attribute trainedwdbcmlps112neuron4 numeric
@Attribute trainedwdbcmlps112neuron5 numeric
@Attribute trainedwdbcmlps112neuron6 numeric
@Attribute trainedwdbcmlps112neuron7 numeric
@Attribute trainedwdbcmlps112neuron8 numeric
@Attribute trainedwdbcmlps112neuron9 numeric
@Attribute trainedwdbcmlps112neuron10 numeric
@Attribute trainedwdbcmlps112neuron11 numeric
@Attribute trainedwdbcmlps112neuron12 numeric
@Attribute trainedwdbcmlps112neuron13 numeric
@Attribute trainedwdbcmlps112neuron14 numeric
@Attribute trainedwdbcmlps112neuron15 numeric
@Attribute trainedwdbcmlps112neuron16 numeric
@Attribute trainedwdbcmlps112neuron17 numeric
@Attribute trainedwdbcmlps112neuron18 numeric
@Attribute trainedwdbcmlps112neuron19 numeric
@Attribute trainedwdbcmlps112neuron20 numeric
@Attribute trainedwdbcmlps112neuron21 numeric
@Attribute trainedwdbcmlps112neuron22 numeric
@Attribute trainedwdbcmlps112neuron23 numeric
@Attribute trainedwdbcmlps112neuron24 numeric
@Attribute trainedwdbcmlps112neuron25 numeric
@Attribute trainedwdbcmlps112neuron26 numeric
@Attribute trainedwdbcmlps112neuron27 numeric
@Attribute trainedwdbcmlps112neuron28 numeric
@Attribute trainedwdbcmlps112neuron29 numeric
@Attribute trainedwdbcmlps112neuron30 numeric
@Attribute trainedwdbcmlps112neuron31 numeric

@Data
'1',0.0,0.0,0.0,0.0,3.3875067234039307,6.112151622772217,23.17235565185547,0.340320885181427,0.0,32.03522491455078,0.0,18.23800277709961,5.280105113983154,0.0,0.0,0.0,0.0,0.0,0.0,8.735301971435547,0.0,0.0,0.0,0.0,0.0,0.0,2.1250946521759033,0.0,0.0,0.0,0.0,0.0
'2',0.0,0.0,0.0,0.0,9.427706718444824,3.060974359512329,20.194223403930664,0.0,0.0,16.0291748046875,0.0,15.330493927001953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.996236801147461,0.0,0.0,3.435995578765869,0.0,0.0,0.0,3.735649347305298,0.0,1.2168307304382324,0.0,0.0,0.0
'3',1.4294334650039673,2.072915554046631,0.0,0.0,4.433446884155273,2.610341787338257,9.501392364501953,0.09580487012863159,0.0,13.248064041137695,0.0,8.064777374267578,5.596912384033203,0.0,0.0,0.0,0.0,0.0,0.0,2.4072210788726807,0.0,0.0,0.06941646337509155,0.0,0.0,0.0,2.4241855144500732,0.0,0.0,0.0,0.0,0.0
'4',0.0,0.0,0.0,0.0,1.350203275680542,2.367622137069702,13.099538803100586,0.0,0.0,19.029598236083984,0.0,10.50093936920166,0.7764817476272583,0.0,0.0,0.0,0.0,0.0,0.0,6.17661190032959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'6',0.2870771586894989,1.3426709175109863,0.0,1.0846574306488037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36267611384391785,0.0,0.0,0.0,4.880901336669922,0.0,0.18771111965179443,0.0,0.0,1.5553669929504395,0.0,0.0,0.0,0.0,0.0,1.0719300508499146
'9',0.0,1.1054787635803223,0.0,23.295391082763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2521440982818604,0.9808946847915649,0.0,10.320365905761719,0.0,0.0,0.0,47.70263671875,0.0,0.5965009927749634,11.142066955566406,0.0,13.10956859588623,0.9359858632087708,0.0,0.0,3.890981674194336,0.04498225450515747,0.415444552898407
'10',0.0,0.0,0.0,23.825347900390625,0.0,0.0,0.0,0.0,3.307110548019409,0.0,0.0,0.0,0.0,2.3811252117156982,0.31305989623069763,0.0,10.745187759399414,0.0,0.0,0.0,51.26385498046875,0.0,0.0,14.754958152770996,0.0,13.167747497558594,0.0,0.0,0.0,1.6829707622528076,1.9073855876922607,2.030357837677002
'12',0.0,0.0,0.0,0.0,4.301041126251221,2.5426931381225586,11.544157981872559,0.0,0.0,14.322937965393066,0.0,9.505593299865723,2.568519115447998,0.0,0.0,0.0,0.0,0.0,0.0,4.866109371185303,0.0,0.3936854600906372,0.0,0.0,0.0,0.0,1.5765610933303833,0.0,0.8463951349258423,0.0,0.0,0.0
'13',0.0,0.0,0.0,0.0,0.0,0.40550798177719116,5.34421968460083,0.0,0.0,9.97574520111084,0.0,5.173050403594971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7704877853393555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23557880520820618
'14',0.0,0.0,0.0,0.0,1.1488006114959717,3.265728235244751,11.060399055480957,0.06382673978805542,0.0,16.904998779296875,0.0,9.723928451538086,2.8142430782318115,0.0,0.0,0.0,0.0,0.0,0.0,4.409271717071533,0.0,0.0,0.0,0.0,0.0,0.0,1.1691914796829224,0.0,0.0,0.0,0.0,0.0
